date,feature_index,NO2,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2023-06-21 00:00:00+00:00,0,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2.966061275605616e-05,2023,6,21,2,172,1.2246467991473532e-16,-1.0,-0.8978045395707417,-0.44039415155763423
2023-06-22 00:00:00+00:00,0,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,4.44248904451732e-05,2023,6,22,3,173,1.2246467991473532e-16,-1.0,-0.9680771188662041,-0.2506525322587213
2023-06-23 00:00:00+00:00,0,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,5.487561175805452e-05,2023,6,23,4,174,1.2246467991473532e-16,-1.0,-0.9987165071710528,-0.05064916883871355
2023-06-24 00:00:00+00:00,0,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,3.848329188072892e-05,2023,6,24,5,175,1.2246467991473532e-16,-1.0,-0.9884683243281114,0.15142777750457667
2023-06-25 00:00:00+00:00,0,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2.458642448946843e-05,2023,6,25,6,176,1.2246467991473532e-16,-1.0,-0.9377521321470804,0.3473052528448203
2023-06-26 00:00:00+00:00,0,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,5.143793718960341e-05,2023,6,26,0,177,1.2246467991473532e-16,-1.0,-0.8486442574947509,0.5289640103269624
2023-06-27 00:00:00+00:00,0,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,6.486959566245787e-05,2023,6,27,1,178,1.2246467991473532e-16,-1.0,-0.72479278722912,0.6889669190756865
2023-06-28 00:00:00+00:00,0,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,5.5627875339910935e-05,2023,6,28,2,179,1.2246467991473532e-16,-1.0,-0.5712682150947924,0.8207634412072763
2023-06-29 00:00:00+00:00,0,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,4.8710398630191776e-05,2023,6,29,3,180,1.2246467991473532e-16,-1.0,-0.3943558551133187,0.9189578116202306
2023-06-30 00:00:00+00:00,0,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,3.002986782770937e-05,2023,6,30,4,181,1.2246467991473532e-16,-1.0,-0.20129852008866114,0.9795299412524943
2023-07-01 00:00:00+00:00,0,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,5.468366228398031e-05,2023,7,1,5,182,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945
2023-07-02 00:00:00+00:00,0,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,4.05476451252231e-05,2023,7,2,6,183,-0.4999999999999997,-0.8660254037844388,0.39435585511331855,0.9189578116202306
2023-07-03 00:00:00+00:00,0,6.0805040962093145e-05,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,5.697735201358548e-05,2023,7,3,0,184,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763
2023-07-04 00:00:00+00:00,0,6.513183507195208e-05,6.0805040962093145e-05,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,4.957144786506736e-05,2023,7,4,1,185,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866
2023-07-05 00:00:00+00:00,0,3.697683203664264e-05,6.513183507195208e-05,6.0805040962093145e-05,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,4.609015741152689e-05,2023,7,5,2,186,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624
2023-07-06 00:00:00+00:00,0,3.96512980881633e-05,3.697683203664264e-05,6.513183507195208e-05,6.0805040962093145e-05,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,3.292584771866371e-05,2023,7,6,3,187,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203
2023-07-07 00:00:00+00:00,0,7.968197132868227e-05,3.96512980881633e-05,3.697683203664264e-05,6.513183507195208e-05,6.0805040962093145e-05,6.042965625446024e-05,3.688474774847877e-05,4.559036768534077e-05,2023,7,7,4,188,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767
2023-07-16 00:00:00+00:00,0,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,7.683317505181644e-05,0.0001000086517799028,6.056735669517366e-05,5.119428586017181e-05,2.0648305212489505e-05,2023,7,16,6,197,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952
