date,feature_index,NO2
2025-02-15T00:00:00.000Z,0,3.498339598687986E-5
2025-02-09T00:00:00.000Z,0,
2025-02-16T00:00:00.000Z,0,2.534941684258008E-5
2025-05-29T00:00:00.000Z,0,4.7293484735396654E-5
2025-05-24T00:00:00.000Z,0,2.9587481431888356E-5
2025-05-28T00:00:00.000Z,0,4.981106337709207E-5
2025-05-27T00:00:00.000Z,0,
2025-05-25T00:00:00.000Z,0,3.4666790109922126E-5
2025-05-30T00:00:00.000Z,0,4.118926672698067E-5
2025-05-26T00:00:00.000Z,0,
2025-05-31T00:00:00.000Z,0,2.8852065627558788E-5
2025-06-15T00:00:00.000Z,0,2.445453708564948E-5
2025-06-14T00:00:00.000Z,0,2.888520139094908E-5
2025-06-13T00:00:00.000Z,0,4.293043469982061E-5
2025-06-10T00:00:00.000Z,0,3.208064468863279E-5
2025-06-09T00:00:00.000Z,0,
2025-06-16T00:00:00.000Z,0,3.208463466661568E-5
2025-06-11T00:00:00.000Z,0,2.9047718039186698E-5
2025-06-12T00:00:00.000Z,0,2.6009138084791243E-5
2025-07-09T00:00:00.000Z,0,6.825873775785018E-5
2025-07-07T00:00:00.000Z,0,2.797995318815083E-5
2025-07-05T00:00:00.000Z,0,3.8195529792904957E-5
2025-07-06T00:00:00.000Z,0,
2025-07-08T00:00:00.000Z,0,4.3847752842852154E-5
2025-07-03T00:00:00.000Z,0,
2025-07-10T00:00:00.000Z,0,5.9228447677620956E-5
2025-07-04T00:00:00.000Z,0,5.586446948452956E-5
2025-08-11T00:00:00.000Z,0,3.0979700481804596E-5
2025-08-09T00:00:00.000Z,0,3.670443816283333E-5
2025-08-10T00:00:00.000Z,0,3.968814699278326E-5
2025-08-04T00:00:00.000Z,0,4.633736419392091E-5
2025-08-07T00:00:00.000Z,0,3.6881066483017227E-5
2025-08-08T00:00:00.000Z,0,3.6652163287172975E-5
2025-08-05T00:00:00.000Z,0,4.288953496143222E-5
2025-08-06T00:00:00.000Z,0,4.109298743415479E-5
2025-09-03T00:00:00.000Z,0,2.1052486398990107E-5
2025-09-04T00:00:00.000Z,0,2.4104659563276304E-5
2025-09-02T00:00:00.000Z,0,1.671734698015271E-5
2025-08-29T00:00:00.000Z,0,2.338235714205439E-5
2025-08-30T00:00:00.000Z,0,3.705199040788492E-5
2025-08-28T00:00:00.000Z,0,3.686744436409379E-5
2025-08-31T00:00:00.000Z,0,2.046774654647581E-5
2025-09-01T00:00:00.000Z,0,2.1632998920852386E-5
2025-09-08T00:00:00.000Z,0,5.5390077746282756E-5
